timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663586254049,64,GET Request Mycar,200,OK,Performance Test 1-7,text,true,,1184,264,2,2,https://qauto2.forstudy.space/api/cars,64,0,0
1663586254110,54,GET Request NOcar,200,OK,Performance Test 1-6,text,true,,1184,262,2,2,https://qauto2.forstudy.space/api/cars,54,0,0
1663586254165,56,GET Request Logout,200,OK,Performance Test 1-6,text,true,,497,269,2,2,https://qauto2.forstudy.space/api/auth/logout,56,0,0
1663586254625,61,PUT Request Changemileage Json,200,OK,Performance Test 1-7,text,true,,536,314,2,2,https://qauto2.forstudy.space/api/cars/66433,61,0,0
1663586255188,89,DEL Request Del car Json,200,OK,Performance Test 1-7,text,true,,335,317,2,2,https://qauto2.forstudy.space/api/cars/66433,89,0,0
1663586254732,545,POST Request SignIn,200,OK,Performance Test 1-6,text,true,,665,291,2,2,https://qauto2.forstudy.space/api/auth/signin,545,0,0
1663586255585,49,GET Request NOcar,200,OK,Performance Test 1-7,text,true,,969,264,2,2,https://qauto2.forstudy.space/api/cars,49,0,0
1663586255634,48,GET Request Logout,200,OK,Performance Test 1-7,text,true,,497,271,2,2,https://qauto2.forstudy.space/api/auth/logout,48,0,0
1663586256199,539,POST Request SignIn,200,OK,Performance Test 1-7,text,true,,665,291,2,2,https://qauto2.forstudy.space/api/auth/signin,539,0,0
1663586256279,469,POST Request AddCar Json,201,Created,Performance Test 1-6,text,true,,540,355,2,2,https://qauto2.forstudy.space/api/cars,469,0,0
1663586257063,59,GET Request Mycar,200,OK,Performance Test 1-6,text,true,,1184,266,2,2,https://qauto2.forstudy.space/api/cars,59,0,0
1663586257629,65,PUT Request Changemileage Json,200,OK,Performance Test 1-6,text,true,,536,316,3,3,https://qauto2.forstudy.space/api/cars/66434,65,0,0
1663586257757,61,POST Request AddCar Json,201,Created,Performance Test 1-7,text,true,,540,355,3,3,https://qauto2.forstudy.space/api/cars,60,0,0
1663586258130,56,GET Request Mycar,200,OK,Performance Test 1-7,text,true,,1401,266,3,3,https://qauto2.forstudy.space/api/cars,56,0,0
1663586258194,537,DEL Request Del car Json,200,OK,Performance Test 1-6,text,true,,335,319,3,3,https://qauto2.forstudy.space/api/cars/66434,537,0,0
1663586258068,663,POST Request SignIn,200,OK,Performance Test 1-8,text,true,,664,291,3,3,https://qauto2.forstudy.space/api/auth/signin,663,0,94
1663586258690,57,PUT Request Changemileage Json,200,OK,Performance Test 1-7,text,true,,536,316,3,3,https://qauto2.forstudy.space/api/cars/66435,57,0,0
1663586259047,51,GET Request NOcar,200,OK,Performance Test 1-6,text,true,,1185,266,3,3,https://qauto2.forstudy.space/api/cars,51,0,0
1663586259099,56,GET Request Logout,200,OK,Performance Test 1-6,text,true,,497,273,3,3,https://qauto2.forstudy.space/api/auth/logout,56,0,0
1663586259249,59,DEL Request Del car Json,200,OK,Performance Test 1-7,text,true,,335,319,2,2,https://qauto2.forstudy.space/api/cars/66435,59,0,0
1663586259612,51,GET Request NOcar,200,OK,Performance Test 1-7,text,true,,969,266,2,2,https://qauto2.forstudy.space/api/cars,51,0,0
1663586259664,46,GET Request Logout,200,OK,Performance Test 1-7,text,true,,497,273,2,2,https://qauto2.forstudy.space/api/auth/logout,46,0,0
1663586259735,58,POST Request AddCar Json,201,Created,Performance Test 1-8,text,true,,540,355,2,2,https://qauto2.forstudy.space/api/cars,58,0,0
1663586260106,101,GET Request Mycar,200,OK,Performance Test 1-8,text,true,,1184,266,2,2,https://qauto2.forstudy.space/api/cars,101,0,0
1663586260215,590,POST Request SignIn,200,OK,Performance Test 1-7,text,true,,661,291,2,2,https://qauto2.forstudy.space/api/auth/signin,590,0,0
1663586260719,105,PUT Request Changemileage Json,200,OK,Performance Test 1-8,text,true,,536,316,2,2,https://qauto2.forstudy.space/api/cars/66436,105,0,0
1663586261333,52,DEL Request Del car Json,200,OK,Performance Test 1-8,text,true,,335,319,2,2,https://qauto2.forstudy.space/api/cars/66436,52,0,0
1663586261694,50,GET Request NOcar,200,OK,Performance Test 1-8,text,true,,969,266,2,2,https://qauto2.forstudy.space/api/cars,50,0,0
1663586261745,48,GET Request Logout,200,OK,Performance Test 1-8,text,true,,497,273,2,2,https://qauto2.forstudy.space/api/auth/logout,48,0,0
1663586261817,59,POST Request AddCar Json,201,Created,Performance Test 1-7,text,true,,540,351,2,2,https://qauto2.forstudy.space/api/cars,59,0,0
1663586262176,50,GET Request Mycar,200,OK,Performance Test 1-7,text,true,,1184,262,2,2,https://qauto2.forstudy.space/api/cars,50,0,0
1663586262300,546,POST Request SignIn,200,OK,Performance Test 1-8,text,true,,659,291,2,2,https://qauto2.forstudy.space/api/auth/signin,546,0,0
1663586262740,110,PUT Request Changemileage Json,200,OK,Performance Test 1-7,text,true,,536,312,2,2,https://qauto2.forstudy.space/api/cars/66437,110,0,0
1663586263351,50,DEL Request Del car Json,200,OK,Performance Test 1-7,text,true,,335,315,2,2,https://qauto2.forstudy.space/api/cars/66437,50,0,0
1663586263701,49,GET Request NOcar,200,OK,Performance Test 1-7,text,true,,969,262,3,3,https://qauto2.forstudy.space/api/cars,49,0,0
1663586263750,49,GET Request Logout,200,OK,Performance Test 1-7,text,true,,497,269,3,3,https://qauto2.forstudy.space/api/auth/logout,49,0,0
1663586263847,56,POST Request AddCar Json,201,Created,Performance Test 1-8,text,true,,540,349,2,2,https://qauto2.forstudy.space/api/cars,56,0,0
1663586264212,482,GET Request Mycar,200,OK,Performance Test 1-8,text,true,,1184,260,2,2,https://qauto2.forstudy.space/api/cars,482,0,0
